WALL-E
A Dangerous Method
Tangled
My Week with Marilyn
Midnight in Paris
Across the Universe
Knocked Up
Twilight
P.S. I Love You
The Curious Case of Benjamin Button
Sex and the City
(500) Days of Summer
Enchanted
Beginners
The Twilight Saga: New Moon
Marley and Me
Jane Eyre
Mamma Mia!
Mamma Mia!
High School Musical 3: Senior Year
The Proposal
Penelope
What Happens in Vegas
Water For Elephants
27 Dresses
Zack and Miri Make a Porno
Remember Me
Music and Lyrics
Miss Pettigrew Lives for a Day
Twilight: Breaking Dawn
The Ugly Truth
The Duchess
Waitress
Nick and Norah's Infinite Playlist
Not Easily Broken
Dear John
The Time Traveler's Wife
No Reservations
A Serious Man
It's Complicated
Life as We Know It
Letters to Juliet
Rachel Getting Married
Made of Honor
Good Luck Chuck
She's Out of My League
He's Just Not That Into You
Just Wright
I Love You Phillip Morris
Going the Distance
Love & Other Drugs
License to Wed
Valentine's Day
One Day
Waiting For Forever
Youth in Revolt
Gnomeo and Juliet
Gnomeo and Juliet
Four Christmases
Fireproof
Monte Carlo
Sex and the City Two
Sex and the City 2
Our Family Wedding
Leap Year
Something Borrowed
New Year's Eve
Tyler Perry's Why Did I get Married
The Invention of Lying
The Back-up Plan
Over Her Dead Body
Ghosts of Girlfriends Past
Killers
When in Rome
The Heartbreak Kid
Love Happens
You Will Meet a Tall Dark Stranger
